State,Destination,FieldPath,Name,OldUrl,NewUrl,Provider,Confidence,Action,Reason
"Andaman & Nicobar","galathea-national-park","heroImage","Galathea National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Map_Showing_The_Proposed_Eco-Sensitive_Zone_Around_Galathea_National_Park.jpg/1280px-Map_Showing_The_Proposed_Eco-Sensitive_Zone_Around_Galathea_National_Park.jpg","https://images.pexels.com/photos/30188165/pexels-photo-30188165.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","galathea-national-park","gallery[0]","Galathea National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Map_Showing_The_Proposed_Eco-Sensitive_Zone_Around_Galathea_National_Park.jpg/1280px-Map_Showing_The_Proposed_Eco-Sensitive_Zone_Around_Galathea_National_Park.jpg","https://images.pexels.com/photos/6672361/pexels-photo-6672361.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","galathea-national-park","gallery[1]","Galathea National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/In_the_Andamans_and_Nicobars%3B_the_narrative_of_a_cruise_in_the_schooner_%22Terrapin%22%2C_with_notices_of_the_islands%2C_their_fauna%2C_ethnology%2C_etc._%28IA_inandamansnicoba00klos%29.pdf/page1-500px-thumbnail.pdf.jpg","https://images.pexels.com/photos/37943752/pexels-photo-37943752.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","galathea-national-park","gallery[2]","Galathea National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Identification_of_Potential_Marine_Important_Bird_Areas_IBAs_in_India_Mistnet.pdf/page1-1280px-Identification_of_Potential_Marine_Important_Bird_Areas_IBAs_in_India_Mistnet.pdf.jpg","https://images.pexels.com/photos/28783524/pexels-photo-28783524.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","mount-manipur-national-park","heroImage","Mount Manipur National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Journal_of_the_Bombay_Natural_History_Society_%28IA_journalofbomba9111994bomb%29.pdf/page1-960px-Journal_of_the_Bombay_Natural_History_Society_%28IA_journalofbomba9111994bomb%29.pdf.jpg","https://images.pexels.com/photos/8061236/pexels-photo-8061236.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","mount-manipur-national-park","gallery[0]","Mount Manipur National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Journal_of_the_Bombay_Natural_History_Society_%28IA_journalofbomba9111994bomb%29.pdf/page1-960px-Journal_of_the_Bombay_Natural_History_Society_%28IA_journalofbomba9111994bomb%29.pdf.jpg","https://images.pexels.com/photos/10996964/pexels-photo-10996964.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","mount-manipur-national-park","gallery[1]","Mount Manipur National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Journal_of_the_Bombay_Natural_History_Society_%28IA_journalofbombay992002bomb%29.pdf/page1-1280px-Journal_of_the_Bombay_Natural_History_Society_%28IA_journalofbombay992002bomb%29.pdf.jpg","https://images.pexels.com/photos/15945113/pexels-photo-15945113.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","mount-manipur-national-park","gallery[2]","Mount Manipur National Park","https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/The_British_Empire_in_the_nineteenth_century%2C_its_progress_and_expansion_at_home_and_abroad_%3B_comprising_a_description_and_history_of_the_British_colonies_and_denpendencies_%28IA_britishempireinn04sanduoft%29.pdf/page1-500px-thumbnail.pdf.jpg","https://images.pexels.com/photos/37943752/pexels-photo-37943752.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","mount-manipur-national-park","topPlaces[0].photos[2]","Mount Manipur","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Netaji_Papers_PMO_915-11-C-2-2006-%28Pol%28V-I%29.pdf/page1-1280px-Netaji_Papers_PMO_915-11-C-2-2006-%28Pol%28V-I%29.pdf.jpg","https://images.pexels.com/photos/25033671/pexels-photo-25033671.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
"Andaman & Nicobar","saddle-peak-national-park","topPlaces[0].image","Saddle Peak (Andaman Islands)","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/On_short_leave_to_Japan_%28IA_onshortleavetoja00younrich%29.pdf/page1-500px-On_short_leave_to_Japan_%28IA_onshortleavetoja00younrich%29.pdf.jpg","https://images.pexels.com/photos/7898444/pexels-photo-7898444.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","pexels","100","APPLIED","Placeholder URL"
